Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Kitche0.0001bvGr,KitchenQual,TotRmsAbvGrd,Functio0.0001l,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
19.00,20.00,RL,66.00,13695.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5.00,5.00,2004.00,2004.00,Gable,CompShg,VinylSd,VinylSd,None,0.00,TA,TA,PConc,TA,TA,No,GLQ,646.00,Unf,0.00,468.00,1114.00,GasA,Ex,Y,SBrkr,1114.00,0.00,0.00,1114.00,1.00,0.00,1.00,1.00,3.00,1.00,Gd,6.00,Typ,0.00,Detchd,2004.00,Unf,2.00,576.00,TA,TA,Y,0.00,102.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00,WD,Normal,159000.00
20.00,20.00,RL,70.00,7560.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,6.00,1958.00,1965.00,Hip,CompShg,BrkFace,Plywood,None,0.00,TA,TA,CBlock,TA,TA,No,LwQ,504.00,Unf,0.00,525.00,1029.00,GasA,TA,Y,SBrkr,1339.00,0.00,0.00,1339.00,0.00,0.00,1.00,0.00,3.00,1.00,TA,6.00,Min1,0.00,Attchd,1958.00,Unf,1.00,294.00,TA,TA,Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2009.00,COD,Abnorml,139000.00
21.00,60.00,RL,101.00,14215.00,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.00,5.00,2005.00,2006.00,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.00,Gd,TA,PConc,Ex,TA,Av,Unf,0.00,Unf,0.00,1158.00,1158.00,GasA,Ex,Y,SBrkr,1158.00,1218.00,0.00,2376.00,0.00,0.00,3.00,1.00,4.00,1.00,Gd,9.00,Typ,1.00,BuiltIn,2005.00,RFn,3.00,853.00,TA,TA,Y,240.00,154.00,0.00,0.00,0.00,0.00,0.00,11.00,2006.00,New,Partial,325300.00
22.00,45.00,RM,57.00,7449.00,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7.00,7.00,1930.00,1950.00,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.00,TA,TA,PConc,TA,TA,No,Unf,0.00,Unf,0.00,637.00,637.00,GasA,Ex,Y,FuseF,1108.00,0.00,0.00,1108.00,0.00,0.00,1.00,0.00,3.00,1.00,Gd,6.00,Typ,1.00,Attchd,1930.00,Unf,1.00,280.00,TA,TA,N,0.00,0.00,205.00,0.00,0.00,0.00,0.00,6.00,2007.00,WD,Normal,139400.00
23.00,20.00,RL,75.00,9742.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.00,5.00,2002.00,2002.00,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.00,Gd,TA,PConc,Gd,TA,No,Unf,0.00,Unf,0.00,1777.00,1777.00,GasA,Ex,Y,SBrkr,1795.00,0.00,0.00,1795.00,0.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Attchd,2002.00,RFn,2.00,534.00,TA,TA,Y,171.00,159.00,0.00,0.00,0.00,0.00,0.00,9.00,2008.00,WD,Normal,230000.00
24.00,120.00,RM,44.00,4224.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5.00,7.00,1976.00,1976.00,Gable,CompShg,CemntBd,CmentBd,None,0.00,TA,TA,PConc,Gd,TA,No,GLQ,840.00,Unf,0.00,200.00,1040.00,GasA,TA,Y,SBrkr,1060.00,0.00,0.00,1060.00,1.00,0.00,1.00,0.00,3.00,1.00,TA,6.00,Typ,1.00,Attchd,1976.00,Unf,2.00,572.00,TA,TA,Y,100.00,110.00,0.00,0.00,0.00,0.00,0.00,6.00,2007.00,WD,Normal,129900.00
25.00,20.00,RL,0.00,8246.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.00,8.00,1968.00,2001.00,Gable,CompShg,Plywood,Plywood,None,0.00,TA,Gd,CBlock,TA,TA,Mn,Rec,188.00,ALQ,668.00,204.00,1060.00,GasA,Ex,Y,SBrkr,1060.00,0.00,0.00,1060.00,1.00,0.00,1.00,0.00,3.00,1.00,Gd,6.00,Typ,1.00,Attchd,1968.00,Unf,1.00,270.00,TA,TA,Y,406.00,90.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00,WD,Normal,154000.00
26.00,20.00,RL,110.00,14230.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.00,5.00,2007.00,2007.00,Gable,CompShg,VinylSd,VinylSd,Stone,640.00,Gd,TA,PConc,Gd,TA,No,Unf,0.00,Unf,0.00,1566.00,1566.00,GasA,Ex,Y,SBrkr,1600.00,0.00,0.00,1600.00,0.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Attchd,2007.00,RFn,3.00,890.00,TA,TA,Y,0.00,56.00,0.00,0.00,0.00,0.00,0.00,7.00,2009.00,WD,Normal,256300.00
27.00,20.00,RL,60.00,7200.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,7.00,1951.00,2000.00,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.00,TA,TA,CBlock,TA,TA,Mn,BLQ,234.00,Rec,486.00,180.00,900.00,GasA,TA,Y,SBrkr,900.00,0.00,0.00,900.00,0.00,1.00,1.00,0.00,3.00,1.00,Gd,5.00,Typ,0.00,Detchd,2005.00,Unf,2.00,576.00,TA,TA,Y,222.00,32.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00,WD,Normal,134800.00
28.00,20.00,RL,98.00,11478.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8.00,5.00,2007.00,2008.00,Gable,CompShg,VinylSd,VinylSd,Stone,200.00,Gd,TA,PConc,Ex,TA,No,GLQ,1218.00,Unf,0.00,486.00,1704.00,GasA,Ex,Y,SBrkr,1704.00,0.00,0.00,1704.00,1.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,1.00,Attchd,2008.00,RFn,3.00,772.00,TA,TA,Y,0.00,50.00,0.00,0.00,0.00,0.00,0.00,5.00,2010.00,WD,Normal,306000.00
29.00,20.00,RL,47.00,16321.00,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,6.00,1957.00,1997.00,Gable,CompShg,MetalSd,MetalSd,None,0.00,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.00,Unf,0.00,207.00,1484.00,GasA,TA,Y,SBrkr,1600.00,0.00,0.00,1600.00,1.00,0.00,1.00,0.00,2.00,1.00,TA,6.00,Typ,2.00,Attchd,1957.00,RFn,1.00,319.00,TA,TA,Y,288.00,258.00,0.00,0.00,0.00,0.00,0.00,12.00,2006.00,WD,Normal,207500.00
30.00,30.00,RM,60.00,6324.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4.00,6.00,1927.00,1950.00,Gable,CompShg,MetalSd,MetalSd,None,0.00,TA,TA,BrkTil,TA,TA,No,Unf,0.00,Unf,0.00,520.00,520.00,GasA,Fa,N,SBrkr,520.00,0.00,0.00,520.00,0.00,0.00,1.00,0.00,1.00,1.00,Fa,4.00,Typ,0.00,Detchd,1920.00,Unf,1.00,240.00,Fa,TA,Y,49.00,0.00,87.00,0.00,0.00,0.00,0.00,5.00,2008.00,WD,Normal,68500.00
31.00,70.00,C (all),50.00,8500.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4.00,4.00,1920.00,1950.00,Gambrel,CompShg,BrkFace,BrkFace,None,0.00,TA,Fa,BrkTil,TA,TA,No,Unf,0.00,Unf,0.00,649.00,649.00,GasA,TA,N,SBrkr,649.00,668.00,0.00,1317.00,0.00,0.00,1.00,0.00,3.00,1.00,TA,6.00,Typ,0.00,Detchd,1920.00,Unf,1.00,250.00,TA,Fa,N,0.00,54.00,172.00,0.00,0.00,0.00,0.00,7.00,2008.00,WD,Normal,40000.00
32.00,20.00,RL,0.00,8544.00,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5.00,6.00,1966.00,2006.00,Gable,CompShg,HdBoard,HdBoard,None,0.00,TA,TA,CBlock,TA,TA,No,Unf,0.00,Unf,0.00,1228.00,1228.00,GasA,Gd,Y,SBrkr,1228.00,0.00,0.00,1228.00,0.00,0.00,1.00,1.00,3.00,1.00,Gd,6.00,Typ,0.00,Attchd,1966.00,Unf,1.00,271.00,TA,TA,Y,0.00,65.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00,WD,Normal,149350.00
33.00,20.00,RL,85.00,11049.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8.00,5.00,2007.00,2007.00,Gable,CompShg,VinylSd,VinylSd,None,0.00,Gd,TA,PConc,Ex,TA,Av,Unf,0.00,Unf,0.00,1234.00,1234.00,GasA,Ex,Y,SBrkr,1234.00,0.00,0.00,1234.00,0.00,0.00,2.00,0.00,3.00,1.00,Gd,7.00,Typ,0.00,Attchd,2007.00,RFn,2.00,484.00,TA,TA,Y,0.00,30.00,0.00,0.00,0.00,0.00,0.00,1.00,2008.00,WD,Normal,179900.00
34.00,20.00,RL,70.00,10552.00,Pave,IR1,Lvl,AllPub,Inside,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,5.00,1959.00,1959.00,Hip,CompShg,BrkFace,BrkFace,None,0.00,TA,TA,CBlock,TA,TA,No,Rec,1018.00,Unf,0.00,380.00,1398.00,GasA,Gd,Y,SBrkr,1700.00,0.00,0.00,1700.00,0.00,1.00,1.00,1.00,4.00,1.00,Gd,6.00,Typ,1.00,Attchd,1959.00,RFn,2.00,447.00,TA,TA,Y,0.00,38.00,0.00,0.00,0.00,0.00,0.00,4.00,2010.00,WD,Normal,165500.00
35.00,120.00,RL,60.00,7313.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9.00,5.00,2005.00,2005.00,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.00,Ex,TA,PConc,Ex,TA,No,GLQ,1153.00,Unf,0.00,408.00,1561.00,GasA,Ex,Y,SBrkr,1561.00,0.00,0.00,1561.00,1.00,0.00,2.00,0.00,2.00,1.00,Ex,6.00,Typ,1.00,Attchd,2005.00,Fin,2.00,556.00,TA,TA,Y,203.00,47.00,0.00,0.00,0.00,0.00,0.00,8.00,2007.00,WD,Normal,277500.00
36.00,60.00,RL,108.00,13418.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8.00,5.00,2004.00,2005.00,Gable,CompShg,VinylSd,VinylSd,Stone,132.00,Gd,TA,PConc,Ex,TA,Av,Unf,0.00,Unf,0.00,1117.00,1117.00,GasA,Ex,Y,SBrkr,1132.00,1320.00,0.00,2452.00,0.00,0.00,3.00,1.00,4.00,1.00,Gd,9.00,Typ,1.00,BuiltIn,2004.00,Fin,3.00,691.00,TA,TA,Y,113.00,32.00,0.00,0.00,0.00,0.00,0.00,9.00,2006.00,WD,Normal,309000.00
37.00,20.00,RL,112.00,10859.00,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5.00,5.00,1994.00,1995.00,Gable,CompShg,VinylSd,VinylSd,None,0.00,TA,TA,PConc,Gd,TA,No,Unf,0.00,Unf,0.00,1097.00,1097.00,GasA,Ex,Y,SBrkr,1097.00,0.00,0.00,1097.00,0.00,0.00,1.00,1.00,3.00,1.00,TA,6.00,Typ,0.00,Attchd,1995.00,Unf,2.00,672.00,TA,TA,Y,392.00,64.00,0.00,0.00,0.00,0.00,0.00,6.00,2009.00,WD,Normal,145000.00
38.00,20.00,RL,74.00,8532.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,6.00,1954.00,1990.00,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.00,TA,TA,CBlock,TA,TA,No,Rec,1213.00,Unf,0.00,84.00,1297.00,GasA,Gd,Y,SBrkr,1297.00,0.00,0.00,1297.00,0.00,1.00,1.00,0.00,3.00,1.00,TA,5.00,Typ,1.00,Attchd,1954.00,Fin,2.00,498.00,TA,TA,Y,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,2009.00,WD,Normal,153000.00
39.00,20.00,RL,68.00,7922.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,0.0001mes,Norm,Norm,1Fam,1Story,5.00,7.00,1953.00,2007.00,Gable,CompShg,VinylSd,VinylSd,None,0.00,TA,Gd,CBlock,TA,TA,No,GLQ,731.00,Unf,0.00,326.00,1057.00,GasA,TA,Y,SBrkr,1057.00,0.00,0.00,1057.00,1.00,0.00,1.00,0.00,3.00,1.00,Gd,5.00,Typ,0.00,Detchd,1953.00,Unf,1.00,246.00,TA,TA,Y,0.00,52.00,0.00,0.00,0.00,0.00,0.00,1.00,2010.00,WD,Abnorml,109000.00
40.00,90.00,RL,65.00,6040.00,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4.00,5.00,1955.00,1955.00,Gable,CompShg,AsbShng,Plywood,None,0.00,TA,TA,PConc,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,GasA,TA,N,FuseP,1152.00,0.00,0.00,1152.00,0.00,0.00,2.00,0.00,2.00,2.00,Fa,6.00,Typ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,2008.00,WD,AdjLand,82000.00
